CustomerID,Recency,Frequency,Monetary,customer_segment,will_purchase
12346.0,326,2.0,0.0,2,0.0
12347.0,2,7.0,4310.0,0,1.0
12348.0,75,4.0,1797.24,0,0.0
12349.0,19,1.0,1757.55,0,1.0
12350.0,310,1.0,334.4,2,0.0
12352.0,36,11.0,1545.41,0,0.0
12353.0,204,1.0,89.0,2,0.0
12354.0,232,1.0,1079.4,2,0.0
12355.0,214,1.0,459.4,2,0.0
12356.0,23,3.0,2811.43,0,1.0
12357.0,33,1.0,6207.67,0,0.0
12358.0,2,2.0,1168.06,0,1.0
12359.0,8,6.0,6182.9800000000005,0,1.0
12360.0,52,3.0,2662.06,0,0.0
12361.0,287,1.0,189.9,2,0.0
12362.0,3,13.0,5154.58,0,1.0
12363.0,110,2.0,552.0,0,0.0
12364.0,8,4.0,1313.1,0,1.0
12365.0,291,3.0,320.69,2,0.0
12367.0,4,1.0,168.9,0,1.0
12370.0,51,4.0,3541.94,0,0.0
12371.0,45,2.0,1887.96,0,0.0
12372.0,72,3.0,1298.04,0,0.0
12373.0,311,1.0,364.6,2,0.0
12374.0,25,1.0,742.9300000000001,0,1.0
12375.0,3,3.0,455.42,0,1.0
12377.0,315,2.0,1628.12,2,0.0
12378.0,130,1.0,4008.62,0,0.0
12379.0,82,3.0,850.29,0,0.0
12380.0,22,5.0,2720.56,0,1.0
12381.0,5,6.0,1803.96,0,1.0
12383.0,185,6.0,1839.31,2,0.0
12384.0,29,3.0,566.16,0,1.0
12386.0,338,2.0,401.9,2,0.0
12388.0,16,6.0,2780.66,0,1.0
12390.0,80,1.0,549.84,0,0.0
12391.0,22,1.0,439.66,0,1.0
12393.0,72,4.0,1582.6000000000001,0,0.0
12394.0,64,2.0,1272.48,0,0.0
12395.0,16,15.0,2998.28,0,1.0
12397.0,36,2.0,2409.9,0,0.0
12398.0,46,1.0,1635.6599999999999,0,0.0
12399.0,119,4.0,1108.65,0,0.0
12401.0,303,1.0,84.3,2,0.0
12402.0,323,1.0,225.6,2,0.0
12403.0,50,2.0,409.7,0,0.0
12405.0,149,1.0,1710.39,2,0.0
12406.0,22,3.0,3280.75,0,1.0
12407.0,50,5.0,1708.1200000000001,0,0.0
12408.0,33,9.0,2842.57,0,0.0
12409.0,79,7.0,11056.93,1,0.0
12410.0,301,3.0,681.0799999999999,2,0.0
12412.0,75,3.0,1226.88,0,0.0
12413.0,67,5.0,694.15,0,0.0
12414.0,217,3.0,562.41,2,0.0
12415.0,24,26.0,17874.031799999964,1,1.0
12417.0,3,12.0,3578.8,0,1.0
12418.0,113,1.0,668.58,0,0.0
12420.0,64,1.0,600.39,0,0.0
12421.0,16,5.0,806.27,0,1.0
12422.0,96,3.0,803.5600000000001,0,0.0
12423.0,1,9.0,1849.11,0,1.0
12424.0,163,2.0,1760.96,2,0.0
12425.0,78,1.0,777.2,0,0.0
12426.0,195,1.0,582.73,2,0.0
12427.0,12,5.0,708.37,0,1.0
12428.0,26,12.0,7877.2,1,1.0
12429.0,9,4.0,3750.4,0,1.0
12430.0,43,1.0,256.4,0,0.0
12431.0,36,18.0,6348.89,1,0.0
12432.0,43,5.0,5059.32,0,0.0
12433.0,1,7.0,13375.87,1,1.0
12434.0,85,4.0,765.19,0,0.0
12435.0,80,2.0,7829.89,0,0.0
12436.0,100,1.0,509.01,0,0.0
12437.0,2,19.0,4896.66,1,1.0
12438.0,14,2.0,2906.85,0,1.0
12441.0,367,1.0,173.55,2,0.0
12442.0,3,1.0,172.06,0,1.0
12444.0,21,5.0,5005.46,0,1.0
12445.0,22,1.0,133.4,0,1.0
12446.0,58,1.0,1002.3100000000001,0,0.0
12447.0,243,1.0,476.49,2,0.0
12448.0,44,1.0,449.45,0,0.0
12449.0,22,4.0,4067.29,0,1.0
12450.0,156,2.0,197.88,2,0.0
12451.0,11,6.0,8933.52,1,1.0
12452.0,17,3.0,428.57,0,1.0
12453.0,134,1.0,707.09,0,0.0
12454.0,53,2.0,5.684341886080802e-14,0,0.0
12455.0,73,6.0,2466.86,0,0.0
12456.0,44,4.0,3153.89,0,0.0
12457.0,58,12.0,1917.78,0,0.0
12458.0,71,2.0,947.4,0,0.0
12461.0,94,2.0,826.88,0,0.0
12462.0,2,4.0,1124.01,0,1.0
12463.0,46,7.0,1303.63,0,0.0
12464.0,10,8.0,1212.05,0,1.0
12465.0,8,3.0,733.89,0,1.0
12468.0,143,3.0,724.0400000000001,0,0.0
